plz;ort;bezirk;bundesland;gueltigab;gueltigbis;plztyp;internextern;adressierbar;postfach
2245;"Velm-Götzendorf";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2251;Ebenthal;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2252;Ollersdorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2253;Weikendorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2261;"Angern an der March";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2262;Stillfried;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2263;Dürnkrut;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2264;Jedenspeigen;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2265;Drösing;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2272;Niederabsdorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2273;"Hohenau an der March";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2274;Rabensburg;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2275;Bernhardsthal;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2276;Reintal;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2280;Glinzendorf;Gänserndorf;N;"2019-06-01";;"PLZ-Adressierung";extern;Ja;Nein
2281;Raasdorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2282;Markgrafneusiedl;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2283;Obersiebenbrunn;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2284;Untersiebenbrunn;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2285;"Leopoldsdorf im Marchfelde";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2286;Haringsee;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2291;Lassee;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2292;Engelhartstetten;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2293;"Marchegg Stadt";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2294;"Marchegg Bahnhof";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2295;Oberweiden;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2301;"Groß-Enzersdorf";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2301;"Groß-Enzersdorf";"Wien 22.,Donaustadt";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2304;"Orth an der Donau";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2305;Eckartsau;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2320;Schwechat;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2322;Zwölfaxing;"Bruck an der Leitha";N;"2004-10-01";;"PLZ-Adressierung";extern;Ja;Ja
2325;Himberg;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2326;"Maria Lanzendorf";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2331;Vösendorf;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2332;Hennersdorf;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2333;Leopoldsdorf;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2334;Vösendorf;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2340;Mödling;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2344;"Maria Enzersdorf";Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2345;"Brunn am Gebirge";Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2351;"Wiener Neudorf";Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2352;Gumpoldskirchen;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2353;Guntramsdorf;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2361;Laxenburg;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2362;Biedermannsdorf;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2371;Hinterbrühl;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2372;Gießhübl;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2380;Perchtoldsdorf;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2380;Perchtoldsdorf;"Wien 23.,Liesing";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2381;"Laab im Walde";Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2381;"Laab im Walde";"Sankt Pölten(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2384;"Breitenfurt bei Wien";Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2391;Kaltenleutgeben;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2392;"Sulz im Wienerwald";Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2393;Sittendorf;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2401;Fischamend;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2402;"Maria Ellend";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2403;Regelsbrunn;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2404;Petronell;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2405;"Bad Deutsch Altenburg";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2410;"Hainburg an der Donau";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2412;Wolfsthal;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2413;Berg;"Neusiedl am See";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2413;Berg;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2421;Kittsee;"Neusiedl am See";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2422;Pama;"Neusiedl am See";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2423;"Deutsch Jahrndorf";"Neusiedl am See";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2424;Zurndorf;"Neusiedl am See";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2425;Nickelsdorf;"Neusiedl am See";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2431;Kleinneusiedl;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2432;Schwadorf;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2433;"Margarethen am Moos";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2434;"Götzendorf an der Leitha";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2435;Ebergassing;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2440;Gramatneusiedl;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2440;Gramatneusiedl;Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2441;"Mitterndorf an der Fischa";Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2441;"Mitterndorf an der Fischa";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2442;Unterwaltersdorf;Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2443;"Deutsch-Brodersdorf";Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2443;"Deutsch-Brodersdorf";"Eisenstadt-Umgebung";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2444;Seibersdorf;Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2451;"Hof am Leithaberge";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2452;"Mannersdorf am Leithagebirge";Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2452;"Mannersdorf am Leithagebirge";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2453;Sommerein;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2454;"Trautmannsdorf an der Leitha";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2460;"Bruck an der Leitha";"Neusiedl am See";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2460;"Bruck an der Leitha";"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2462;Wilfleinsdorf;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2462;Wilfleinsdorf;"Neusiedl am See";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2463;Stixneusiedl;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2464;Göttlesbrunn;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2465;Höflein;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2471;Rohrau;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2471;Rohrau;"Neusiedl am See";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2472;Prellenkirchen;"Bruck an der Leitha";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2473;Potzneusiedl;"Neusiedl am See";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2473;Potzneusiedl;"Bruck an der Leitha";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2474;Gattendorf;"Neusiedl am See";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2475;Neudorf;"Neusiedl am See";B;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2481;Achau;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2482;Münchendorf;Mödling;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2483;Ebreichsdorf;Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2485;Wampersdorf;Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2485;Wampersdorf;"Eisenstadt-Umgebung";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2486;Pottendorf;Baden;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2490;Ebenfurth;"Wiener Neustadt(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
