plz;ort;bezirk;bundesland;gueltigab;gueltigbis;plztyp;internextern;adressierbar;postfach
5223;Pfaffstätt;"Braunau am Inn";O;"2009-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5223;Pfaffstätt;Braunau;O;"2009-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5224;Auerbach;"Braunau am Inn";O;"2009-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5225;Jeging;Braunau;O;"2008-08-01";;"PLZ-Adressierung";extern;Ja;Nein
5225;Jeging;"Braunau am Inn";O;"2008-08-01";;"PLZ-Adressierung";extern;Ja;Nein
5230;Mattighofen;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5230;Mattighofen;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5231;Schalchen;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5231;Schalchen;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5232;"Kirchberg bei Mattighofen";"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5232;"Kirchberg bei Mattighofen";Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5233;"Pischelsdorf am Engelbach";"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5233;"Pischelsdorf am Engelbach";Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5241;"Maria Schmolln";"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5241;"Maria Schmolln";Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5242;"St. Johann am Walde";Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5242;"St. Johann am Walde";"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5251;Höhnhart;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5251;Höhnhart;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5252;Aspach;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5252;Aspach;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5261;Uttendorf;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5261;Uttendorf;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5270;Mauerkirchen;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5270;Mauerkirchen;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5271;Moosbach;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5271;Moosbach;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5272;Treubach;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5272;Treubach;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5273;Roßbach;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5273;Roßbach;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5274;Burgkirchen;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5274;Burgkirchen;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5280;"Braunau am Inn";Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5280;"Braunau am Inn";"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5282;Braunau;"Braunau am Inn";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5282;Braunau;Braunau;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5300;Hallwang;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5301;Eugendorf;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5302;"Henndorf am Wallersee";"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5303;Thalgau;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5310;Mondsee;"Salzburg-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5310;Mondsee;Vöcklabruck;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5311;Loibichl;Vöcklabruck;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5321;Koppl;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5322;"Hof bei Salzburg";"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5323;Ebenau;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5323;Ebenau;Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5324;Faistenau;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5325;Plainfeld;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5330;"Fuschl am See";"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5340;"St. Gilgen";"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5342;Abersee;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5350;Strobl;"Salzburg-Umgebung";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5360;"St. Wolfgang im Salzkammergut";Gmunden;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5360;"St. Wolfgang im Salzkammergut";"Salzburg-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5400;Hallein;Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5411;Oberalm;Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5412;"Puch bei Hallein";Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5421;Adnet;Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5422;"Heilbad Dürrnberg";Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5423;"St. Koloman";Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5424;"Bad Vigaun";Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5425;Krispl;Hallein;Sa;"2013-12-01";;"PLZ-Adressierung";extern;Ja;Nein
5431;Kuchl;Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5440;"Golling an der Salzach";Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5441;Abtenau;Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5442;"Rußbach am Paß Gschütt";Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5450;Werfen;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5450;Werfen;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5451;Tenneck;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5452;Pfarrwerfen;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5452;Pfarrwerfen;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5453;Werfenweng;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5453;Werfenweng;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5500;Bischofshofen;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5500;Bischofshofen;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5505;"Mühlbach am Hochkönig";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5511;Hüttau;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5511;Hüttau;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5521;Niedernfritz;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5521;Niedernfritz;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5522;"St. Martin am Tennengebirge";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5522;"St. Martin am Tennengebirge";"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5523;Lungötz;Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5524;Annaberg;Hallein;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5531;"Eben im Pongau";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5531;"Eben im Pongau";"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5532;Filzmoos;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5532;Filzmoos;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5541;"Altenmarkt im Pongau";"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5541;"Altenmarkt im Pongau";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5542;Flachau;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5542;Flachau;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5550;Radstadt;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5550;Radstadt;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5552;Forstau;"Sankt Johann im Pongau";Sa;"2007-10-01";;"PLZ-Adressierung";extern;Ja;Ja
5552;Forstau;"St. Johann im Pongau";Sa;"2007-10-01";;"PLZ-Adressierung";extern;Ja;Ja
5561;Untertauern;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5561;Untertauern;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5562;Obertauern;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5562;Obertauern;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5563;Tweng;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5570;Mauterndorf;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5571;Mariapfarr;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5572;"St. Andrä im Lungau";Tamsweg;Sa;"2006-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5573;Weißpriach;Tamsweg;Sa;"2008-10-09";;"PLZ-Adressierung";extern;Ja;Nein
5574;Göriach;Tamsweg;Sa;"2009-04-01";;"PLZ-Adressierung";extern;Ja;Nein
5575;Lessach;Tamsweg;Sa;"2013-03-01";;"PLZ-Adressierung";extern;Ja;Nein
5580;Tamsweg;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5581;"St. Margarethen im Lungau";Tamsweg;Sa;"2004-10-01";;"PLZ-Adressierung";extern;Ja;Nein
5582;"St. Michael im Lungau";Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5583;Muhr;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5584;Zederhaus;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5585;Unternberg;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5591;Ramingstein;Tamsweg;Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5592;Thomatal;Tamsweg;Sa;"2006-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5600;"St. Johann im Pongau";"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5600;"St. Johann im Pongau";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5602;Wagrain;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5602;Wagrain;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5603;Kleinarl;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5603;Kleinarl;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5611;Großarl;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5611;Großarl;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5612;Hüttschlag;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5620;"Schwarzach im Pongau";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5621;"St. Veit im Pongau";"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5621;"St. Veit im Pongau";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5622;Goldegg;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5622;Goldegg;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5630;"Bad Hofgastein";"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5630;"Bad Hofgastein";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5632;Dorfgastein;"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5632;Dorfgastein;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5640;"Bad Gastein";"St. Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5640;"Bad Gastein";"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5645;Böckstein;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5651;Lend;"Sankt Johann im Pongau";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5651;Lend;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5652;"Dienten am Hochkönig";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5660;Taxenbach;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5661;Rauris;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5662;Gries;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5671;"Bruck an der Großglocknerstraße";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5672;"Fusch an der Glocknerstraße";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5700;"Zell am See";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5710;Kaprun;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5721;Piesendorf;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5722;Niedernsill;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5723;Uttendorf;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5724;Stuhlfelden;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5730;Mittersill;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5731;"Hollersbach im Pinzgau";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5732;Mühlbach;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5733;"Bramberg am Wildkogel";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5741;"Neukirchen am Großvenediger";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5742;"Wald im Pinzgau";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5743;Krimml;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5751;Maishofen;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5752;Viehhofen;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5753;Saalbach;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5754;Hinterglemm;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
5760;"Saalfelden am Steinernen Meer";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5761;"Maria Alm am Steinernen Meer";"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
5771;Leogang;"Zell am See";Sa;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6020;Innsbruck;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6020;Innsbruck;"Innsbruck-Stadt";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6060;"Hall in Tirol";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6063;Rum;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6065;Thaur;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6067;Absam;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6068;Mils;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6069;Gnadenwald;"Innsbruck-Land";T;"2008-09-01";;"PLZ-Adressierung";extern;Ja;Nein
6070;Ampass;"Innsbruck-Land";T;"2008-10-09";;"PLZ-Adressierung";extern;Ja;Ja
6071;Aldrans;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6072;Lans;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6073;Sistrans;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6074;Rinn;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6075;Tulfes;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6080;"Innsbruck-Igls";"Innsbruck-Stadt";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6082;Patsch;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6083;Ellbögen;"Innsbruck-Land";T;"2008-09-01";;"PLZ-Adressierung";extern;Ja;Nein
6091;Götzens;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6092;Birgitz;"Innsbruck-Land";T;"2008-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6094;Axams;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6095;Grinzens;"Innsbruck-Land";T;"2008-08-01";;"PLZ-Adressierung";extern;Ja;Nein
6100;"Seefeld in Tirol";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6103;"Reith bei Seefeld";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6105;Leutasch;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6108;Scharnitz;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6111;Volders;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6112;Wattens;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6113;Wattenberg;"Innsbruck-Land";T;"2008-07-17";;"PLZ-Adressierung";extern;Ja;Nein
6114;Kolsass;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6115;Kolsassberg;"Innsbruck-Land";T;"2009-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6116;Weer;Schwaz;T;"2012-12-01";;"PLZ-Adressierung";extern;Ja;Nein
6121;Baumkirchen;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6122;Fritzens;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6123;Terfens;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6130;Schwaz;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6133;Weerberg;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6134;Vomp;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6135;Stans;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6136;Pill;Schwaz;T;"2009-07-01";;"PLZ-Adressierung";extern;Ja;Nein
6141;"Schönberg im Stubaital";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6142;Mieders;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6143;"Matrei am Brenner";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6145;Navis;"Innsbruck-Land";T;"2008-10-01";;"PLZ-Adressierung";extern;Ja;Ja
6150;"Steinach am Brenner";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6152;Trins;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6154;"St. Jodok am Brenner";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6156;"Gries am Brenner";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6157;"Obernberg am Brenner";"Innsbruck-Land";T;"2008-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6161;Natters;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6162;Mutters;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6165;"Telfes im Stubai";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6166;Fulpmes;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6167;"Neustift im Stubaital";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6170;Zirl;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6173;Oberperfuss;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6175;"Kematen in Tirol";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6176;Völs;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6178;Unterperfuss;"Innsbruck-Land";T;"2009-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6179;Ranggen;"Innsbruck-Land";T;"2008-10-09";;"PLZ-Adressierung";extern;Ja;Nein
6181;Sellrain;"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6182;"Gries im Sellrain";"Innsbruck-Land";T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6182;"Gries im Sellrain";Imst;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6183;Kühtai;Imst;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6184;"St. Sigmund";"Innsbruck-Land";T;"2008-10-09";;"PLZ-Adressierung";extern;Ja;Nein
6200;Jenbach;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6210;Wiesing;Schwaz;T;"2007-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6212;Maurach;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6213;Pertisau;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6215;Achenkirch;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6220;"Buch in Tirol";Schwaz;T;"2011-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6222;Gallzein;Schwaz;T;"2008-06-01";;"PLZ-Adressierung";extern;Ja;Nein
6230;Brixlegg;Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6232;Münster;Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6233;Kramsach;Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6234;Brandenberg;Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6235;"Reith im Alpbachtal";Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6236;Alpbach;Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6240;Rattenberg;Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6241;Radfeld;Kufstein;T;"2009-07-01";;"PLZ-Adressierung";extern;Ja;Ja
6250;Kundl;Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6252;"Breitenbach am Inn";Kufstein;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6260;"Bruck am Ziller";Kufstein;T;"2008-10-09";;"PLZ-Adressierung";extern;Ja;Nein
6260;"Bruck am Ziller";Schwaz;T;"2008-10-09";;"PLZ-Adressierung";extern;Ja;Nein
6261;"Strass im Zillertal";Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
6262;Schlitters;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
6263;Fügen;Schwaz;T;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
